bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
XIST,XIST,NLGN4Y,MEG3
STAT1,AC119673.2,TTTY14,AC068587.4
IFI6,AC009435.1,UTY,GPR158
CCDC144A,AC105402.3,USP9Y,PKNOX2
VEGFA,MTRNR2L8,KDM5D,GAP43
HERC6,GPNMB,PCDH11Y,NTM
DOCK5,CD81,HSPA1A,RBFOX1
ADM,MT1X,TTTY10,CPNE5
KANK4,TRAF4,HSP90AA1,PCDH11Y
PARP9,CRISPLD2,DDX3Y,HERC6
MIR210HG,RASSF4,RPS4Y1,CACNA1A
KCNQ1OT1,ARL17A,HSPH1,KAZN
PARP14,ALDOC,ZFY,UTY
JPX,KIF19,HSP90AB1,PTPRE
NEDD9,MARCKSL1,CLU,NCALD
AC119673.2,HIF3A,HSPA1B,GRIK3
LAT,SMOC1,CHRM3,SORBS1
ISG15,BCAN,PRKY,ATP2C2
BAALC,MT1M,APOD,ABR
IFI44,PYGL,BAG3,NTN1
BEST3,SLC22A17,LINC01515,RPS6KA2
HLA-DOB,CNP,HSPA6,CNTN5
RAPGEF5,CHST8,MALAT1,SHC3
OAS1,SLC35F3,COL19A1,USP9Y
CIRBP,DDX5,HSPB1,NRXN3
ALK,MT2A,EIF1AY,LPIN1
AL592183.1,KANSL1,CST3,KCNIP1
TAP2,PLLP,DHDH,TTTY14
RASSF4,AC022031.2,HSPE1,CACNA2D3
TBC1D3D,SOX8,SERPINH1,LRMDA
HK2,RTKN,UNC13C,TNRC6A
AK4,RFX3-AS1,DNAJA4,MPRIP
SGCD,TSC22D4,UBB,PAFAH1B1
IRF9,RALGDS,DNAJB1,COL9A1
FAM106A,CEBPD,CRYAB,PTPRT
SERPINA3,PHLDA1,HSPD1,LINC00511
LINC01006,C1QL1,BCAN,ASH1L
MUC20,ACTG1,AC245187.2,CADPS
SLC15A4,THY1,POU6F2,ITPR2
COL20A1,ERBB3,CSPG5,TNC
NRIR,EMILIN2,ADGRG7,MEG8
AGBL4,ITM2C,UBC,SH3GL2
DDX60,DUSP1,LUZP2,ATP2B4
KCNMB4,UBA6-AS1,CACNB2,GALNT2
COL4A2,RGCC,OLIG1,CLIP2
AF121898.1,TYRO3,CACYBP,MMD2
AC110285.1,NFKBIA,AC090692.1,FAM118A
GLIS3,LERFS,HMGB1,KCND3
SH3RF3,MGLL,CALM1,AGAP1
FAR2,NME3,AC009041.2,MATN2
CACNG8,OMG,NKAIN4,NLGN4Y
XACT,METTL7A,CDH8,INSYN2B
PDK1,EEF2K,TRPC7-AS1,DANT2
ZCCHC17,KLF15,ZNF83,FRMD5
MMD2,PEX5L,LINC00278,CDC14B
IFIT3,OLIG2,AC245123.1,KCNT2
LINC02821,CKB,AC011287.1,RBMS3
EMP2,HEPN1,HSPA4L,PER3
PPFIA4,H3F3B,EGR1,OSBP2
RSAD2,GFAP,B3GLCT,EPSTI1
NLRC5,ITM2B,C5orf17,SH3GL3
GOLGA8B,PRKCA-AS1,FKBP4,ADAMTS17
HTR2C,LY6H,C17orf67,P2RX7
CDH19,ENHO,SOX2-OT,MACF1
DPH6,LRP4,DMD,ACTN1
QTRT1,EIF4A2,AC013265.1,SOBP
FAM27C,PGP,SPHKAP,RDH10
TNS1,ATP1A1,ACTB,ST8SIA5
